,Depth,Resistivity,Gamma Ray,Total Porosity,Effective Porosity,Bulk Density,Compression Wave Travel Time,Shear Wave Travel Time
1502,7556.0,41.18342,132.50919,0.04175,0.02857,2.59427,74.70522,127.99619
1503,7556.5,141.66766,122.46125,0.02988,0.01759,2.64448,73.65847,133.84372
1504,7557.0,287.09415,107.31426,0.02638,0.01555,2.66551,69.99787,131.06302
1505,7557.5,524.78058,93.53181,0.02441,0.01512,2.65906,66.74362,123.41963
1506,7558.0,833.79382,87.7449,0.01938,0.01064,2.66096,65.81208,117.35578
1507,7558.5,304.81577,92.38285,0.01712,0.00788,2.66326,66.73427,114.07238
1508,7559.0,107.84999,98.48195,0.02608,0.01708,2.6556,67.39056,112.25242
1509,7559.5,129.90814,96.61578,0.03764,0.02988,2.649,66.60943,111.4433
1510,7560.0,249.85756,85.87131,0.0411,0.03489,2.65255,64.5373,110.68888
1511,7560.5,368.67892,75.14671,0.03631,0.03179,2.66354,62.11025,108.53942
1512,7561.0,464.57236,66.51418,0.02901,0.02635,2.67427,60.02116,105.26182
1513,7561.5,584.36859,60.1126,0.02252,0.02124,2.69256,58.67856,102.85522
1514,7562.0,810.16559,59.14259,0.01724,0.01651,2.71525,58.25569,102.22529
1515,7562.5,760.82263,65.4882,0.01542,0.01461,2.73266,58.56323,102.32035
1516,7563.0,229.58482,73.8833,0.01737,0.01586,2.73943,59.06663,102.74878
1517,7563.5,119.05199,76.47101,0.01658,0.01343,2.73275,58.9779,102.55355
1518,7564.0,246.82053,72.56834,0.01552,0.01054,2.72781,58.07877,99.89502
1519,7564.5,250.19872,68.675,0.01879,0.01312,2.73091,57.51199,96.08082
1520,7565.0,41.55723,66.64198,0.02135,0.01627,2.73197,58.11582,94.18154
1521,7565.5,57.58254,63.16975,0.02374,0.01981,2.7168,58.81615,93.44718
1522,7566.0,115.9982,55.58535,0.02953,0.02637,2.68685,58.47572,91.74857
1523,7566.5,141.78172,47.23608,0.0366,0.03361,2.65651,57.65576,90.3681
1524,7567.0,86.91743,41.69898,0.04182,0.03859,2.63115,57.52592,90.83968
1525,7567.5,55.09178,39.96208,0.04686,0.0436,2.61447,58.08522,91.86633
1526,7568.0,45.84776,41.26847,0.04962,0.04668,2.60368,58.64212,92.32704
1527,7568.5,53.15782,42.86509,0.05057,0.04818,2.6003,58.92991,91.97357
1528,7569.0,56.08076,43.86253,0.05184,0.04948,2.60182,59.01255,91.40125
1529,7569.5,59.43962,43.88012,0.05059,0.04757,2.60064,58.9857,90.94676
1530,7570.0,48.1091,44.78397,0.0464,0.04206,2.60172,58.88641,90.62106
1531,7570.5,43.88642,45.40208,0.0399,0.03455,2.61056,58.65779,90.31065
1532,7571.0,53.80316,44.73577,0.03444,0.02936,2.62867,58.20033,89.83069
1533,7571.5,75.48348,41.63715,0.03536,0.03144,2.6398,57.54717,89.15035
1534,7572.0,111.66337,38.63364,0.0411,0.03762,2.6334,56.84943,88.21521
1535,7572.5,125.05547,37.53651,0.04596,0.04144,2.62118,56.27515,87.22117
1536,7573.0,95.02733,37.05545,0.04824,0.04147,2.61155,55.9454,86.54784
1537,7573.5,103.65637,35.63972,0.05022,0.04097,2.60981,55.88541,86.46096
1538,7574.0,152.98254,32.78388,0.0519,0.04053,2.60536,55.97849,86.71667
1539,7574.5,129.92038,29.82612,0.05239,0.0398,2.59799,56.07656,87.14385
1540,7575.0,95.68157,28.28267,0.05084,0.03824,2.58906,56.14876,87.51315
1541,7575.5,108.41486,29.37084,0.04883,0.03774,2.58967,56.24548,87.74967
1542,7576.0,96.78173,31.75363,0.05013,0.04094,2.59887,56.50266,87.9885
1543,7576.5,79.88654,32.25767,0.05356,0.04598,2.60363,56.99069,88.15559
1544,7577.0,92.24612,30.34986,0.05469,0.04796,2.60136,57.37883,88.23293
1545,7577.5,95.97517,29.13413,0.05291,0.04682,2.59954,57.422,88.25524
1546,7578.0,68.07194,31.12016,0.04987,0.04418,2.60158,57.23822,88.20836
1547,7578.5,73.23743,32.82275,0.04904,0.04315,2.60845,56.94118,88.14177
1548,7579.0,94.69588,32.11644,0.04894,0.04194,2.60692,56.54936,88.12911
1549,7579.5,102.16388,29.5324,0.04891,0.04053,2.60277,56.263,87.9071
1550,7580.0,95.85658,28.09418,0.04921,0.03965,2.59211,56.25711,87.36617
1551,7580.5,87.68061,28.55196,0.04967,0.03906,2.58382,56.28395,86.70474
1552,7581.0,87.74142,29.29467,0.04795,0.03628,2.58191,56.12707,86.56002
1553,7581.5,89.24232,30.31087,0.04374,0.03094,2.59331,55.92551,87.42464
1554,7582.0,95.75511,31.74971,0.03884,0.0243,2.60786,56.04306,88.58142
1555,7582.5,79.45543,34.47677,0.03804,0.02128,2.61866,56.65745,88.97403
1556,7583.0,63.24642,37.02871,0.04109,0.02316,2.61716,57.30569,88.07178
1557,7583.5,105.13516,37.4344,0.04307,0.02594,2.61189,57.51315,87.20377
1558,7584.0,122.77142,35.58161,0.04328,0.02834,2.60749,57.2728,87.10491
1559,7584.5,132.74207,33.73234,0.04357,0.03125,2.60328,56.88783,87.58599
1560,7585.0,173.75661,32.44072,0.04338,0.03387,2.59871,56.65024,87.94155
1561,7585.5,149.16373,32.20309,0.04391,0.03678,2.59634,56.62111,87.78936
1562,7586.0,87.51226,32.69078,0.04538,0.03955,2.59414,56.70429,87.40123
1563,7586.5,107.70934,32.22385,0.04852,0.04353,2.59601,56.83793,87.10588
1564,7587.0,119.79943,30.71243,0.05122,0.0471,2.5961,57.01307,87.03721
1565,7587.5,97.3455,29.92952,0.04992,0.0462,2.59762,57.17617,87.42561
1566,7588.0,87.48192,32.67698,0.04587,0.04253,2.59923,57.27218,88.15159
1567,7588.5,83.56045,37.15534,0.04106,0.03854,2.6044,57.1954,88.67564
1568,7589.0,87.86795,39.59803,0.04073,0.03813,2.61291,56.91802,88.75851
1569,7589.5,85.10362,39.54221,0.04428,0.04028,2.61684,56.60492,88.5066
1570,7590.0,92.64806,37.28431,0.04474,0.03861,2.61613,56.33381,88.29298
1571,7590.5,110.8984,34.34229,0.04519,0.03782,2.60866,56.16854,88.20515
1572,7591.0,129.83304,33.77751,0.04655,0.03987,2.60147,56.10752,88.10706
1573,7591.5,115.75831,35.79231,0.04455,0.04016,2.6004,56.05608,87.96049
1574,7592.0,88.48175,37.30428,0.04428,0.04273,2.5997,55.98998,87.73661
1575,7592.5,110.20576,35.50436,0.05102,0.05075,2.59382,56.01013,87.53337
1576,7593.0,121.17539,33.49693,0.05896,0.05893,2.57733,56.18468,87.46286
1577,7593.5,90.96677,34.67711,0.06067,0.06057,2.56538,56.54333,87.81528
1578,7594.0,96.46287,38.09833,0.05912,0.05782,2.56978,57.02071,88.59926
1579,7594.5,110.61247,40.62982,0.05646,0.0523,2.58297,57.60544,89.47452
1580,7595.0,67.468,42.29482,0.05517,0.04852,2.5966,58.12254,89.96637
1581,7595.5,71.56775,43.2924,0.0537,0.04487,2.59968,58.40508,89.83924
1582,7596.0,79.28955,43.01639,0.05109,0.04092,2.60268,58.31597,89.59049
1583,7596.5,83.49058,39.38929,0.05117,0.04127,2.60677,57.88996,89.51418
